account_id,domain,force_ssl,data_storage_region,send_site_setup_emails,site_ip
1544595,devops101.imperva.securitytestingsolutions.com,TRUE,AU,FALSE,3.24.114.188
1544595,devops102.imperva.securitytestingsolutions.com,TRUE,AU,FALSE,3.24.114.188
1544595,devops103.imperva.securitytestingsolutions.com,TRUE,AU,FALSE,3.24.114.188
1544595,devops104.imperva.securitytestingsolutions.com,TRUE,AU,FALSE,3.24.114.188
1544595,devops110.imperva.securitytestingsolutions.com,TRUE,AU,FALSE,3.24.114.188
1544595,devops130.imperva.securitytestingsolutions.com,TRUE,AU,FALSE,3.24.114.188
1544595,devops131.imperva.securitytestingsolutions.com,TRUE,AU,FALSE,3.24.114.188
1544595,devops132.imperva.securitytestingsolutions.com,TRUE,AU,FALSE,3.24.114.188
1544595,devops134.imperva.securitytestingsolutions.com,TRUE,AU,FALSE,3.24.114.188
1544595,devops135.imperva.securitytestingsolutions.com,TRUE,AU,FALSE,3.24.114.188
